task 1-2-3 - Calibration = 650

Task 1- Release:  0.100, Completion:  0.192, Response: 0.092, WCRT: 0.092, Next Release:  0.400
Task 2- Release:  0.100, Completion:  0.269, Response: 0.169, WCRT: 0.169, Next Release:  0.500
Task 3- Release:  0.100, Completion:  0.345, Response: 0.245, WCRT: 0.245, Next Release:  0.700
Task 1- Release:  0.400, Completion:  0.481, Response: 0.081, WCRT: 0.092, Next Release:  0.700
Task 2- Release:  0.500, Completion:  0.577, Response: 0.077, WCRT: 0.169, Next Release:  0.900
Task 1- Release:  0.700, Completion:  0.780, Response: 0.080, WCRT: 0.092, Next Release:  1.000
Task 3- Release:  0.700, Completion:  0.857, Response: 0.157, WCRT: 0.245, Next Release:  1.300
Task 2- Release:  0.900, Completion:  0.977, Response: 0.077, WCRT: 0.169, Next Release:  1.300
Task 1- Release:  1.000, Completion:  1.080, Response: 0.080, WCRT: 0.092, Next Release:  1.300
Task 1- Release:  1.300, Completion:  1.377, Response: 0.077, WCRT: 0.092, Next Release:  1.600
Task 2- Release:  1.300, Completion:  1.454, Response: 0.154, WCRT: 0.169, Next Release:  1.700
Task 3- Release:  1.300, Completion:  1.537, Response: 0.237, WCRT: 0.245, Next Release:  1.900
Task 1- Release:  1.600, Completion:  1.677, Response: 0.077, WCRT: 0.092, Next Release:  1.900
Task 2- Release:  1.700, Completion:  1.777, Response: 0.077, WCRT: 0.169, Next Release:  2.100
Task 1- Release:  1.900, Completion:  1.984, Response: 0.084, WCRT: 0.092, Next Release:  2.200
Task 3- Release:  1.900, Completion:  2.060, Response: 0.160, WCRT: 0.245, Next Release:  2.500
Task 2- Release:  2.100, Completion:  2.179, Response: 0.079, WCRT: 0.169, Next Release:  2.500
Task 1- Release:  2.200, Completion:  2.277, Response: 0.077, WCRT: 0.092, Next Release:  2.500
Task 1- Release:  2.500, Completion:  2.578, Response: 0.078, WCRT: 0.092, Next Release:  2.800
Task 2- Release:  2.500, Completion:  2.654, Response: 0.154, WCRT: 0.169, Next Release:  2.900
Task 3- Release:  2.500, Completion:  2.730, Response: 0.230, WCRT: 0.245, Next Release:  3.100
Task 1- Release:  2.800, Completion:  2.877, Response: 0.077, WCRT: 0.092, Next Release:  3.100
Task 2- Release:  2.900, Completion:  2.988, Response: 0.088, WCRT: 0.169, Next Release:  3.300
Task 1- Release:  3.100, Completion:  3.179, Response: 0.079, WCRT: 0.092, Next Release:  3.400
Task 3- Release:  3.100, Completion:  3.256, Response: 0.156, WCRT: 0.245, Next Release:  3.700


Task 1- Release:  0.100, Completion:  0.180, Response: 0.080, WCRT: 0.080, Next Release:  0.400
Task 2- Release:  0.100, Completion:  0.258, Response: 0.158, WCRT: 0.158, Next Release:  0.500
Task 3- Release:  0.100, Completion:  0.334, Response: 0.234, WCRT: 0.234, Next Release:  0.700
Task 1- Release:  0.400, Completion:  0.477, Response: 0.077, WCRT: 0.080, Next Release:  0.700
Task 2- Release:  0.500, Completion:  0.578, Response: 0.078, WCRT: 0.158, Next Release:  0.900
Task 1- Release:  0.700, Completion:  0.778, Response: 0.078, WCRT: 0.080, Next Release:  1.000
Task 3- Release:  0.700, Completion:  0.855, Response: 0.155, WCRT: 0.234, Next Release:  1.300
Task 2- Release:  0.900, Completion:  0.978, Response: 0.078, WCRT: 0.158, Next Release:  1.300
Task 1- Release:  1.000, Completion:  1.080, Response: 0.080, WCRT: 0.080, Next Release:  1.300 - Hyperperiod
Task 1- Release:  1.300, Completion:  1.380, Response: 0.080, WCRT: 0.080, Next Release:  1.600   (Different scheduling)
Task 2- Release:  1.300, Completion:  1.458, Response: 0.158, WCRT: 0.158, Next Release:  1.700
Task 3- Release:  1.300, Completion:  1.535, Response: 0.235, WCRT: 0.235, Next Release:  1.900
Task 1- Release:  1.600, Completion:  1.681, Response: 0.081, WCRT: 0.081, Next Release:  1.900
Task 2- Release:  1.700, Completion:  1.783, Response: 0.083, WCRT: 0.158, Next Release:  2.100
Task 1- Release:  1.900, Completion:  1.977, Response: 0.077, WCRT: 0.081, Next Release:  2.200
Task 3- Release:  1.900, Completion:  2.054, Response: 0.154, WCRT: 0.235, Next Release:  2.500
Task 2- Release:  2.100, Completion:  2.177, Response: 0.077, WCRT: 0.158, Next Release:  2.500
Task 1- Release:  2.200, Completion:  2.282, Response: 0.082, WCRT: 0.082, Next Release:  2.500
Task 1- Release:  2.500, Completion:  2.584, Response: 0.084, WCRT: 0.084, Next Release:  2.800
Task 2- Release:  2.500, Completion:  2.660, Response: 0.160, WCRT: 0.160, Next Release:  2.900
Task 3- Release:  2.500, Completion:  2.737, Response: 0.237, WCRT: 0.237, Next Release:  3.100
Task 1- Release:  2.800, Completion:  2.880, Response: 0.080, WCRT: 0.084, Next Release:  3.100
Task 2- Release:  2.900, Completion:  2.980, Response: 0.080, WCRT: 0.160, Next Release:  3.300
Task 1- Release:  3.100, Completion:  3.180, Response: 0.080, WCRT: 0.084, Next Release:  3.400
Task 3- Release:  3.100, Completion:  3.258, Response: 0.158, WCRT: 0.237, Next Release:  3.700
Task 2- Release:  3.300, Completion:  3.378, Response: 0.078, WCRT: 0.160, Next Release:  3.700
Task 1- Release:  3.400, Completion:  3.480, Response: 0.080, WCRT: 0.084, Next Release:  3.700
Task 1- Release:  3.700, Completion:  3.783, Response: 0.083, WCRT: 0.084, Next Release:  4.000
Task 2- Release:  3.700, Completion:  3.862, Response: 0.162, WCRT: 0.162, Next Release:  4.100
Task 3- Release:  3.700, Completion:  3.940, Response: 0.240, WCRT: 0.240, Next Release:  4.300
Task 1- Release:  4.000, Completion:  4.078, Response: 0.078, WCRT: 0.084, Next Release:  4.300
Task 2- Release:  4.100, Completion:  4.177, Response: 0.077, WCRT: 0.162, Next Release:  4.500


Task 1- Release:  0.100, Completion:  0.179, Response: 0.079, WCRT: 0.079, Next Release:  0.400
Task 2- Release:  0.100, Completion:  0.257, Response: 0.157, WCRT: 0.157, Next Release:  0.500
Task 3- Release:  0.100, Completion:  0.334, Response: 0.234, WCRT: 0.234, Next Release:  0.700
Task 1- Release:  0.400, Completion:  0.479, Response: 0.079, WCRT: 0.079, Next Release:  0.700
Task 2- Release:  0.500, Completion:  0.579, Response: 0.079, WCRT: 0.157, Next Release:  0.900
Task 1- Release:  0.700, Completion:  0.778, Response: 0.078, WCRT: 0.079, Next Release:  1.000
Task 3- Release:  0.700, Completion:  0.855, Response: 0.155, WCRT: 0.234, Next Release:  1.300
Task 2- Release:  0.900, Completion:  0.979, Response: 0.079, WCRT: 0.157, Next Release:  1.300
Task 1- Release:  1.000, Completion:  1.079, Response: 0.079, WCRT: 0.079, Next Release:  1.300
Task 1- Release:  1.300, Completion:  1.379, Response: 0.079, WCRT: 0.079, Next Release:  1.600
Task 2- Release:  1.300, Completion:  1.463, Response: 0.163, WCRT: 0.163, Next Release:  1.700
Task 3- Release:  1.300, Completion:  1.540, Response: 0.240, WCRT: 0.240, Next Release:  1.900
Task 1- Release:  1.600, Completion:  1.683, Response: 0.083, WCRT: 0.083, Next Release:  1.900
Task 2- Release:  1.700, Completion:  1.782, Response: 0.082, WCRT: 0.163, Next Release:  2.100
Task 1- Release:  1.900, Completion:  1.981, Response: 0.081, WCRT: 0.083, Next Release:  2.200
Task 3- Release:  1.900, Completion:  2.057, Response: 0.157, WCRT: 0.240, Next Release:  2.500
Task 2- Release:  2.100, Completion:  2.176, Response: 0.076, WCRT: 0.163, Next Release:  2.500
Task 1- Release:  2.200, Completion:  2.279, Response: 0.079, WCRT: 0.083, Next Release:  2.500
