rms2 tsk 1-2-3-4 - Calibration = 750

Task 1- Release:  0.100, Completion:  0.188, Response: 0.088, WCRT: 0.088, Next Release:  0.400
Task 2- Release:  0.101, Completion:  0.275, Response: 0.174, WCRT: 0.174, Next Release:  0.501
Task 3- Release:  0.102, Completion:  0.362, Response: 0.260, WCRT: 0.260, Next Release:  0.702
Task 1- Release:  0.400, Completion:  0.488, Response: 0.088, WCRT: 0.088, Next Release:  0.700
Task 2- Release:  0.501, Completion:  0.588, Response: 0.087, WCRT: 0.174, Next Release:  0.901
Task 1- Release:  0.700, Completion:  0.790, Response: 0.090, WCRT: 0.090, Next Release:  1.000
Task 3- Release:  0.702, Completion:  0.877, Response: 0.175, WCRT: 0.260, Next Release:  1.302
Task 4- Release:  0.103, Completion:  0.885, Response: 0.782, WCRT: 0.782, Next Release:  1.303
Task 2- Release:  0.901, Completion:  0.991, Response: 0.090, WCRT: 0.174, Next Release:  1.301
Task 1- Release:  1.000, Completion:  1.088, Response: 0.088, WCRT: 0.090, Next Release:  1.300
Task 1- Release:  1.300, Completion:  1.389, Response: 0.089, WCRT: 0.090, Next Release:  1.600
Task 2- Release:  1.301, Completion:  1.475, Response: 0.174, WCRT: 0.174, Next Release:  1.701
Task 3- Release:  1.302, Completion:  1.562, Response: 0.260, WCRT: 0.260, Next Release:  1.902
Task 1- Release:  1.600, Completion:  1.688, Response: 0.088, WCRT: 0.090, Next Release:  1.900
Task 2- Release:  1.701, Completion:  1.788, Response: 0.087, WCRT: 0.174, Next Release:  2.101
Task 1- Release:  1.900, Completion:  1.987, Response: 0.087, WCRT: 0.090, Next Release:  2.200
Task 3- Release:  1.902, Completion:  2.074, Response: 0.172, WCRT: 0.260, Next Release:  2.502
Task 4- Release:  1.303, Completion:  2.082, Response: 0.779, WCRT: 0.782, Next Release:  2.503
Task 2- Release:  2.101, Completion:  2.188, Response: 0.087, WCRT: 0.174, Next Release:  2.501
Task 1- Release:  2.200, Completion:  2.288, Response: 0.088, WCRT: 0.090, Next Release:  2.500
Task 1- Release:  2.500, Completion:  2.588, Response: 0.088, WCRT: 0.090, Next Release:  2.800
Task 2- Release:  2.501, Completion:  2.674, Response: 0.173, WCRT: 0.174, Next Release:  2.901
