Mixedscheduling output - Calibration = 650
3 background tansk + 3 normal task

B_Task 3- Release:  0.001, Completion:  0.078, Response: 0.077, WCRT: 0.077, Next Release:  0.101
Task   1- Release:  0.100, Completion:  0.177, Response: 0.077, WCRT: 0.077, Next Release:  0.400
Task   2- Release:  0.100, Completion:  0.253, Response: 0.153, WCRT: 0.153, Next Release:  0.500
Task   3- Release:  0.100, Completion:  0.329, Response: 0.228, WCRT: 0.228, Next Release:  0.700
B_Task 2- Release:  0.001, Completion:  0.383, Response: 0.382, WCRT: 0.382, Next Release:  0.101
Task   1- Release:  0.400, Completion:  0.476, Response: 0.076, WCRT: 0.077, Next Release:  0.700
Task   2- Release:  0.500, Completion:  0.577, Response: 0.077, WCRT: 0.153, Next Release:  0.900
B_Task 1- Release:  0.001, Completion:  0.611, Response: 0.610, WCRT: 0.610, Next Release:  0.101
Task   1- Release:  0.700, Completion:  0.777, Response: 0.076, WCRT: 0.077, Next Release:  1.000
Task   3- Release:  0.700, Completion:  0.853, Response: 0.153, WCRT: 0.228, Next Release:  1.300
Task   2- Release:  0.900, Completion:  0.977, Response: 0.077, WCRT: 0.153, Next Release:  1.300
B_Task 2- Release:  0.101, Completion:  0.988, Response: 0.887, WCRT: 0.887, Next Release:  0.201
Task   1- Release:  1.000, Completion:  1.076, Response: 0.076, WCRT: 0.077, Next Release:  1.300
B_Task 1- Release:  0.101, Completion:  1.104, Response: 1.003, WCRT: 1.003, Next Release:  0.201
B_Task 3- Release:  0.101, Completion:  1.143, Response: 1.042, WCRT: 1.042, Next Release:  0.201
Task   1- Release:  1.300, Completion:  1.377, Response: 0.077, WCRT: 0.077, Next Release:  1.600
Task   2- Release:  1.300, Completion:  1.453, Response: 0.153, WCRT: 0.153, Next Release:  1.700
Task   3- Release:  1.300, Completion:  1.529, Response: 0.229, WCRT: 0.229, Next Release:  1.900
B_Task 2- Release:  0.201, Completion:  1.589, Response: 1.388, WCRT: 1.388, Next Release:  0.301
B_Task 1- Release:  0.201, Completion:  1.599, Response: 1.398, WCRT: 1.398, Next Release:  0.301
B_Task 3- Release:  0.201, Completion:  1.599, Response: 1.398, WCRT: 1.398, Next Release:  0.301
Task   1- Release:  1.600, Completion:  1.677, Response: 0.077, WCRT: 0.077, Next Release:  1.900
Task   2- Release:  1.700, Completion:  1.776, Response: 0.076, WCRT: 0.153, Next Release:  2.100
B_Task 2- Release:  0.301, Completion:  1.827, Response: 1.526, WCRT: 1.526, Next Release:  0.401
Task   1- Release:  1.900, Completion:  2.006, Response: 0.106, WCRT: 0.106, Next Release:  2.200
Task   3- Release:  1.900, Completion:  2.084, Response: 0.184, WCRT: 0.229, Next Release:  2.500
Task   2- Release:  2.100, Completion:  2.177, Response: 0.077, WCRT: 0.153, Next Release:  2.500
B_Task 1- Release:  0.301, Completion:  2.180, Response: 1.879, WCRT: 1.879, Next Release:  0.401
Task   1- Release:  2.200, Completion:  2.279, Response: 0.079, WCRT: 0.106, Next Release:  2.500
B_Task 3- Release:  0.301, Completion:  2.335, Response: 2.034, WCRT: 2.034, Next Release:  0.401
B_Task 2- Release:  0.401, Completion:  2.463, Response: 2.062, WCRT: 2.062, Next Release:  0.501
Task   1- Release:  2.500, Completion:  2.576, Response: 0.076, WCRT: 0.106, Next Release:  2.800
Task   2- Release:  2.500, Completion:  2.653, Response: 0.153, WCRT: 0.153, Next Release:  2.900
Task   3- Release:  2.500, Completion:  2.729, Response: 0.229, WCRT: 0.229, Next Release:  3.100
B_Task 1- Release:  0.401, Completion:  2.747, Response: 2.346, WCRT: 2.346, Next Release:  0.501
B_Task 3- Release:  0.401, Completion:  2.792, Response: 2.391, WCRT: 2.391, Next Release:  0.501
Task   1- Release:  2.800, Completion:  2.877, Response: 0.077, WCRT: 0.106, Next Release:  3.100
Task   2- Release:  2.900, Completion:  3.006, Response: 0.106, WCRT: 0.153, Next Release:  3.300
Task   1- Release:  3.100, Completion:  3.179, Response: 0.079, WCRT: 0.106, Next Release:  3.400
Task   3- Release:  3.100, Completion:  3.261, Response: 0.161, WCRT: 0.229, Next Release:  3.700
Task   2- Release:  3.300, Completion:  3.377, Response: 0.077, WCRT: 0.153, Next Release:  3.700
Task   1- Release:  3.400, Completion:  3.476, Response: 0.076, WCRT: 0.106, Next Release:  3.700
B_Task 2- Release:  0.501, Completion:  3.497, Response: 2.996, WCRT: 2.996, Next Release:  0.601
B_Task 1- Release:  0.501, Completion:  3.522, Response: 3.021, WCRT: 3.021, Next Release:  0.601
B_Task 3- Release:  0.501, Completion:  3.538, Response: 3.037, WCRT: 3.037, Next Release:  0.601
B_Task 2- Release:  0.601, Completion:  3.614, Response: 3.013, WCRT: 3.013, Next Release:  0.701
B_Task 1- Release:  0.601, Completion:  3.690, Response: 3.089, WCRT: 3.089, Next Release:  0.701
Task   1- Release:  3.700, Completion:  3.777, Response: 0.077, WCRT: 0.106, Next Release:  4.000
Task   2- Release:  3.700, Completion:  3.853, Response: 0.153, WCRT: 0.153, Next Release:  4.100
Task   3- Release:  3.700, Completion:  3.982, Response: 0.282, WCRT: 0.282, Next Release:  4.300
Task   1- Release:  4.000, Completion:  4.077, Response: 0.077, WCRT: 0.106, Next Release:  4.300
Task   2- Release:  4.100, Completion:  4.177, Response: 0.077, WCRT: 0.153, Next Release:  4.500
B_Task 3- Release:  0.601, Completion:  4.199, Response: 3.598, WCRT: 3.598, Next Release:  0.701
Task   1- Release:  4.300, Completion:  4.380, Response: 0.080, WCRT: 0.106, Next Release:  4.600
Task   3- Release:  4.300, Completion:  4.456, Response: 0.156, WCRT: 0.282, Next Release:  4.900
B_Task 2- Release:  0.701, Completion:  4.461, Response: 3.760, WCRT: 3.760, Next Release:  0.801
Task   2- Release:  4.500, Completion:  4.578, Response: 0.078, WCRT: 0.153, Next Release:  4.900
Task   1- Release:  4.600, Completion:  4.677, Response: 0.077, WCRT: 0.106, Next Release:  4.900
B_Task 1- Release:  0.701, Completion:  4.682, Response: 3.981, WCRT: 3.981, Next Release:  0.801
B_Task 3- Release:  0.701, Completion:  4.734, Response: 4.033, WCRT: 4.033, Next Release:  0.801
Task   1- Release:  4.900, Completion:  5.007, Response: 0.107, WCRT: 0.107, Next Release:  5.200
Task   2- Release:  4.900, Completion:  5.083, Response: 0.183, WCRT: 0.183, Next Release:  5.300
Task   3- Release:  4.900, Completion:  5.159, Response: 0.259, WCRT: 0.282, Next Release:  5.500
B_Task 2- Release:  0.801, Completion:  5.182, Response: 4.381, WCRT: 4.381, Next Release:  0.901
Task   1- Release:  5.200, Completion:  5.277, Response: 0.077, WCRT: 0.107, Next Release:  5.500
B_Task 1- Release:  0.801, Completion:  5.300, Response: 4.499, WCRT: 4.499, Next Release:  0.901
Task   2- Release:  5.300, Completion:  5.377, Response: 0.077, WCRT: 0.183, Next Release:  5.700
B_Task 3- Release:  0.801, Completion:  5.392, Response: 4.591, WCRT: 4.591, Next Release:  0.901
Task   1- Release:  5.500, Completion:  5.581, Response: 0.081, WCRT: 0.107, Next Release:  5.800
Task   3- Release:  5.500, Completion:  5.657, Response: 0.157, WCRT: 0.282, Next Release:  6.100
B_Task 1- Release:  0.901, Completion:  5.688, Response: 4.787, WCRT: 4.787, Next Release:  1.001
Task   2- Release:  5.700, Completion:  5.778, Response: 0.078, WCRT: 0.183, Next Release:  6.100
Task   1- Release:  5.800, Completion:  5.877, Response: 0.077, WCRT: 0.107, Next Release:  6.100
B_Task 3- Release:  0.901, Completion:  5.962, Response: 5.061, WCRT: 5.061, Next Release:  1.001
B_Task 2- Release:  0.901, Completion:  5.970, Response: 5.069, WCRT: 5.069, Next Release:  1.001
B_Task 2- Release:  1.001, Completion:  6.072, Response: 5.071, WCRT: 5.071, Next Release:  1.101
Task   1- Release:  6.100, Completion:  6.177, Response: 0.077, WCRT: 0.107, Next Release:  6.400
Task   2- Release:  6.100, Completion:  6.253, Response: 0.153, WCRT: 0.183, Next Release:  6.500
Task   3- Release:  6.100, Completion:  6.329, Response: 0.229, WCRT: 0.282, Next Release:  6.700
B_Task 1- Release:  1.001, Completion:  6.371, Response: 5.370, WCRT: 5.370, Next Release:  1.101
Task   1- Release:  6.400, Completion:  6.476, Response: 0.076, WCRT: 0.107, Next Release:  6.700
Task   2- Release:  6.500, Completion:  6.577, Response: 0.077, WCRT: 0.183, Next Release:  6.900
B_Task 3- Release:  1.001, Completion:  6.584, Response: 5.583, WCRT: 5.583, Next Release:  1.101
Task   1- Release:  6.700, Completion:  6.777, Response: 0.077, WCRT: 0.107, Next Release:  7.000
Task   3- Release:  6.700, Completion:  6.853, Response: 0.153, WCRT: 0.282, Next Release:  7.300
Task   1- Release:  7.000, Completion:  7.078, Response: 0.078, WCRT: 0.107, Next Release:  7.300
Task   2- Release:  6.900, Completion:  7.086, Response: 0.186, WCRT: 0.186, Next Release:  7.300
B_Task 2- Release:  1.101, Completion:  7.112, Response: 6.011, WCRT: 6.011, Next Release:  1.201
B_Task 1- Release:  1.101, Completion:  7.147, Response: 6.046, WCRT: 6.046, Next Release:  1.201
B_Task 3- Release:  1.101, Completion:  7.169, Response: 6.068, WCRT: 6.068, Next Release:  1.201
Task   1- Release:  7.300, Completion:  7.377, Response: 0.077, WCRT: 0.107, Next Release:  7.600
Task   2- Release:  7.300, Completion:  7.456, Response: 0.156, WCRT: 0.186, Next Release:  7.700
Task   3- Release:  7.300, Completion:  7.532, Response: 0.232, WCRT: 0.282, Next Release:  7.900
Task   1- Release:  7.600, Completion:  7.678, Response: 0.078, WCRT: 0.107, Next Release:  7.900
B_Task 3- Release:  1.201, Completion:  7.684, Response: 6.483, WCRT: 6.483, Next Release:  1.301
B_Task 2- Release:  1.201, Completion:  7.699, Response: 6.498, WCRT: 6.498, Next Release:  1.301
Task   2- Release:  7.700, Completion:  7.782, Response: 0.082, WCRT: 0.186, Next Release:  8.100
